,Anou,Tipo,sector,Monto
391,2012,48101,CULTURALES,5000000
392,2012,48101,CULTURALES,1000000
393,2012,48101,CULTURALES,2000000
394,2012,48101,CULTURALES,4000000
395,2012,48101,CULTURALES,3000000
396,2012,48101,CULTURALES,2500000
397,2012,48101,CULTURALES,2500000
398,2012,48101,CULTURALES,2000000
399,2012,48101,CULTURALES,3000000
400,2012,48101,CULTURALES,3000000
401,2012,48101,EDUCATIVAS,20000000
402,2012,48101,CULTURALES,1500000
403,2012,48101,CULTURALES,37600000
404,2012,48101,CULTURALES,1000000
405,2012,48101,CULTURALES,8000000
406,2012,48101,CULTURALES,2500000
407,2012,48101,CULTURALES,1880000
408,2012,48101,CULTURALES,4000000
409,2012,48101,EDUCATIVAS,1850000
410,2012,48101,CULTURALES,1000000
411,2012,48101,CULTURALES,500000
412,2012,48101,CULTURALES,2000000
413,2012,48101,CULTURALES,2068000
414,2012,48101,CULTURALES,2000000
415,2012,48101,CULTURALES,2000000
416,2012,48101,CULTURALES,5920000
417,2012,48101,CULTURALES,2820000
418,2012,48101,CULTURALES,940000
419,2012,48101,CULTURALES,700000
420,2012,48101,CULTURALES,3760000
421,2012,48101,CULTURALES,3000000
422,2012,48101,CULTURALES,10000000
423,2012,48101,CULTURALES,8000000
424,2012,48101,CULTURALES,11280000
425,2012,48101,CULTURALES,5000000
426,2012,48101,CULTURALES,2500000
427,2012,48101,CULTURALES,1500000
428,2012,48101,CULTURALES,1000000
429,2012,48101,CULTURALES,1000000
430,2012,48101,CULTURALES,5000000
431,2012,48101,CULTURALES,1000000
432,2012,48101,CULTURALES,2000000
433,2012,48101,CULTURALES,200000
434,2012,48101,CULTURALES,3000000
435,2012,48101,CULTURALES,10000000
436,2012,48101,CULTURALES,6000000
437,2012,48101,CULTURALES,4000000
438,2012,48101,CULTURALES,2000000
439,2012,48101,CULTURALES,2000000
440,2012,48101,CULTURALES,1500000
441,2012,48101,CULTURALES,1000000
442,2012,48101,CULTURALES,5225110
443,2012,48101,CULTURALES,1880000
444,2012,48101,CULTURALES,800000
445,2012,48101,CULTURALES,2000000
446,2012,48101,CULTURALES,1500000
447,2012,48101,CULTURALES,3000000
448,2012,48101,CULTURALES,1500000
449,2012,48101,CULTURALES,2217931
450,2012,48101,CULTURALES,500000
451,2012,48101,CULTURALES,200000
452,2012,48101,CULTURALES,1500000
453,2012,48101,CULTURALES,6000000
454,2012,48101,CULTURALES,2350000
455,2012,48101,CULTURALES,2820000
456,2012,48101,CULTURALES,1410000
457,2012,48101,CULTURALES,938335
458,2012,48101,CULTURALES,940000
459,2012,48101,CULTURALES,940000
460,2012,48101,CULTURALES,1880000
461,2012,48101,CULTURALES,1410000
462,2012,48101,CULTURALES,1880000
463,2012,48101,CULTURALES,940000
464,2012,48101,EDUCATIVAS,1035000
465,2012,48101,EDUCATIVAS,1100000
466,2012,48101,EDUCATIVAS,1500000
467,2012,48101,CULTURALES,633450
468,2012,48101,EDUCATIVAS,910000
469,2012,48101,CULTURALES,2820000
470,2012,48101,CULTURALES,8200000
471,2012,48101,CULTURALES,4183188
472,2012,48101,CULTURALES,5640000
473,2012,48101,CULTURALES,1880000
474,2012,48101,CULTURALES,1456812
475,2012,48101,CULTURALES,940000
476,2012,48101,CULTURALES,8800000
477,2012,48101,CULTURALES,4400000
478,2012,48101,CULTURALES,1410000
479,2012,48101,CULTURALES,1410000
480,2012,48101,CULTURALES,1800000
481,2012,48101,CULTURALES,2000000
482,2012,48101,SALUD,10000000
483,2012,48101,CULTURALES,1500000
484,2012,48101,CULTURALES,5000000
485,2012,48101,CULTURALES,3000000
486,2012,48101,CULTURALES,2000000
487,2012,48101,CULTURALES,2999558
488,2012,48101,CULTURALES,1500000
489,2012,48101,CULTURALES,1000000
490,2012,48101,CULTURALES,18200000
491,2012,48101,CULTURALES,2870000
492,2012,48101,CULTURALES,2820000
493,2012,48101,CULTURALES,1880000
494,2012,48101,CULTURALES,1500000
495,2012,48101,CULTURALES,1000000
496,2012,48101,CULTURALES,2128000
497,2012,48101,CULTURALES,3000000
498,2012,48101,CULTURALES,1200000
499,2012,48101,CULTURALES,3000000
500,2012,48101,CULTURALES,3500000
501,2012,48101,CULTURALES,2000000
502,2012,48101,CULTURALES,9400000
503,2012,48101,CULTURALES,2500000
504,2012,48101,CULTURALES,7000000
505,2012,48101,CULTURALES,900000
506,2012,48101,CULTURALES,1280000
507,2012,48101,CULTURALES,2000000
508,2012,48101,CULTURALES,4989776
509,2012,48101,CULTURALES,20600000
510,2012,48101,CULTURALES,20600000
511,2012,48101,CULTURALES,20600000
512,2012,48101,CULTURALES,20600000
513,2012,48101,CULTURALES,20600000
514,2012,48101,CULTURALES,1000000
515,2012,48101,CULTURALES,3500000
516,2012,48101,CULTURALES,3760000
517,2012,48101,CULTURALES,300000
518,2012,48101,CULTURALES,3500000
519,2012,48101,CULTURALES,940000
520,2012,48101,CULTURALES,940000
521,2012,48101,CULTURALES,500000
522,2012,48101,CULTURALES,20000000
523,2012,48101,CULTURALES,940000
524,2012,48101,CULTURALES,3000000
525,2012,48201,CULTURALES,1410000
526,2012,48201,CULTURALES,89300000
527,2012,48201,CULTURALES,470000
528,2012,48201,CULTURALES,2000000
529,2012,48201,CULTURALES,500000
530,2012,48201,CULTURALES,6583384
531,2012,48201,CULTURALES,3000000
532,2012,48201,CULTURALES,2000000
533,2012,48201,CULTURALES,500000
534,2012,48201,CULTURALES,500000
535,2012,48201,CULTURALES,500000
536,2012,48201,CULTURALES,500000
537,2012,48201,CULTURALES,500000
538,2012,48201,CULTURALES,500000
539,2012,48201,CULTURALES,1000000
540,2012,48201,CULTURALES,3760000
541,2012,48201,CULTURALES,30000000
542,2012,48201,CULTURALES,1500000
543,2012,48201,CULTURALES,1000000
544,2012,48201,CULTURALES,2000000
545,2012,48201,CULTURALES,500000
546,2012,48201,CULTURALES,2500000
547,2012,48201,CULTURALES,500000
548,2012,48201,CULTURALES,2000000
549,2012,48201,CULTURALES,1000000
550,2012,48201,CULTURALES,3300000
551,2012,48201,CULTURALES,21027818
552,2012,48201,CULTURALES,3000000
553,2012,48201,CULTURALES,1500000
554,2012,48201,CULTURALES,500000
555,2012,48201,CULTURALES,13254000
556,2012,48201,CULTURALES,1000000
557,2012,48201,CULTURALES,4000000
558,2012,48201,CULTURALES,940000
559,2012,48201,CULTURALES,1880000
560,2012,48201,CULTURALES,940000
561,2012,48201,CULTURALES,5640000
562,2012,48201,CULTURALES,5637227
563,2012,48201,CULTURALES,1410000
564,2012,48201,CULTURALES,750000
565,2012,48201,CULTURALES,6000000
566,2012,48201,CULTURALES,5896000
567,2012,48201,CULTURALES,940000
568,2012,48201,CULTURALES,1880000
569,2012,48201,CULTURALES,3042827
570,2012,48201,CULTURALES,2000000
571,2012,48201,CULTURALES,3800000
572,2012,48201,CULTURALES,700000
573,2012,48201,CULTURALES,1410000
574,2012,48201,CULTURALES,1000000
575,2012,48201,CULTURALES,500000
576,2012,48201,CULTURALES,500000
577,2012,48201,CULTURALES,500000
578,2012,48201,CULTURALES,3948000
579,2012,48201,CULTURALES,2000000
580,2012,48201,CULTURALES,10000000
581,2012,48201,CULTURALES,2350000
582,2012,48201,CULTURALES,1645000
583,2012,48201,CULTURALES,2000000
584,2012,48201,CULTURALES,5000000
585,2012,48201,CULTURALES,2500000
586,2012,48201,CULTURALES,500000
587,2012,48201,CULTURALES,2500000
588,2012,48201,CULTURALES,4512000
589,2012,48201,CULTURALES,1410000
590,2012,48201,CULTURALES,1500000
591,2012,48201,CULTURALES,6150000
592,2012,48201,CULTURALES,1500000
593,2012,48201,CULTURALES,470000
594,2012,48201,CULTURALES,3000000
595,2012,48201,CULTURALES,2500000
596,2012,48201,CULTURALES,2000000
597,2012,48201,CULTURALES,2000000
598,2012,48201,CULTURALES,3290000
599,2012,48201,CULTURALES,1940000
600,2012,48201,CULTURALES,2000000
601,2012,48201,CULTURALES,1500000
602,2012,48201,CULTURALES,21402000
603,2012,48201,CULTURALES,10000000
604,2012,48201,CULTURALES,2800000
605,2012,48201,CULTURALES,8800000
606,2012,48201,CULTURALES,500000
607,2012,48201,CULTURALES,17000000
608,2012,48201,CULTURALES,2832000
609,2012,48201,CULTURALES,5000000
610,2012,48201,CULTURALES,412000
611,2012,48201,CULTURALES,115000
612,2012,48201,CULTURALES,1880000
613,2012,48201,CULTURALES,7000000
614,2012,48201,CULTURALES,1000000
615,2012,48201,CULTURALES,33513068
616,2012,48201,CULTURALES,1000000
617,2012,48201,CULTURALES,3000000
618,2012,48201,CULTURALES,500000
619,2012,48201,CULTURALES,8200000
620,2012,48201,CULTURALES,2000000
621,2012,48201,CULTURALES,1000000
622,2012,48201,CULTURALES,750000
623,2012,48201,CULTURALES,940000
624,2012,48201,CULTURALES,2460000
625,2012,48201,CULTURALES,1000000
626,2012,48201,CULTURALES,3000000
627,2012,48201,CULTURALES,500000
628,2012,48201,CULTURALES,500000
629,2012,48201,CULTURALES,1000000
630,2012,48201,CULTURALES,1500000
631,2012,48201,CULTURALES,12220000
632,2012,48201,CULTURALES,2500000
633,2012,48201,CULTURALES,250000
634,2012,48201,CULTURALES,1000000
635,2012,48201,CULTURALES,500000
636,2012,48201,CULTURALES,1500000
637,2012,48201,CULTURALES,1500000
638,2012,48201,CULTURALES,1500000
639,2012,48201,CULTURALES,3760000
640,2012,48201,CULTURALES,1040000
641,2012,48201,CULTURALES,6160000
642,2012,48201,CULTURALES,1560000
643,2012,48201,CULTURALES,1320000
644,2012,48201,CULTURALES,5166000
645,2012,48201,CULTURALES,11344860
646,2012,48201,CULTURALES,21244000
647,2012,48201,CULTURALES,2820000
648,2012,48201,CULTURALES,940000
649,2012,48201,CULTURALES,11980000
650,2012,48201,CULTURALES,3760000
651,2012,48201,CULTURALES,3000000
652,2012,48201,CULTURALES,1500000
653,2012,48201,CULTURALES,1760000
654,2012,48201,CULTURALES,4000000
655,2012,48201,CULTURALES,2000000
656,2012,48201,CULTURALES,1880000
657,2012,48201,CULTURALES,2000000
658,2012,48201,CULTURALES,1500000
659,2012,48201,CULTURALES,450000
660,2012,48201,CULTURALES,1000000
661,2012,48201,CULTURALES,1000000
662,2012,48201,CULTURALES,200000
663,2012,48201,CULTURALES,500000
664,2012,48201,CULTURALES,450000
665,2012,48201,CULTURALES,200000
666,2012,48201,CULTURALES,500000
667,2012,48201,CULTURALES,5000000
668,2012,48201,CULTURALES,500000
669,2012,48201,CULTURALES,1000000
670,2012,48201,CULTURALES,1500000
671,2012,48201,CULTURALES,2500000
672,2012,48201,CULTURALES,2000000
673,2012,48201,CULTURALES,1000000
674,2012,48201,CULTURALES,2000000
675,2012,48201,CULTURALES,500000
676,2012,48201,CULTURALES,28300000
677,2012,48201,CULTURALES,940000
678,2012,48201,CULTURALES,8000000
679,2012,48201,CULTURALES,3000000
680,2012,48201,CULTURALES,1500000
681,2012,48201,CULTURALES,14100000
682,2012,48201,CULTURALES,2000000
683,2012,48201,CULTURALES,3500000
684,2012,48201,CULTURALES,1640000
685,2012,48201,CULTURALES,10810000
686,2012,48201,CULTURALES,6000000
687,2012,48201,CULTURALES,5280000
688,2012,48201,CULTURALES,940000
689,2012,48201,CULTURALES,4000000
690,2012,48201,CULTURALES,6200000
691,2012,48201,CULTURALES,1410000
692,2012,48201,CULTURALES,4700000
693,2012,48201,CULTURALES,10622000
694,2012,48201,CULTURALES,800000
695,2012,48201,CULTURALES,1000000
696,2012,48201,CULTURALES,1000000
697,2012,48201,CULTURALES,4500000
698,2012,48201,CULTURALES,1000000
699,2012,48201,CULTURALES,564000
700,2012,48201,CULTURALES,3500000
701,2012,48201,CULTURALES,3290000
702,2012,48201,CULTURALES,2000000
703,2012,48201,CULTURALES,1880000
704,2012,48201,CULTURALES,2350000
705,2012,48201,CULTURALES,1634848
706,2012,48201,CULTURALES,1410000
707,2012,48201,CULTURALES,470000
708,2012,48201,CULTURALES,250000
709,2012,48201,CULTURALES,376000
710,2012,48201,CULTURALES,376000
711,2012,48201,CULTURALES,188000
712,2012,48201,CULTURALES,4785786
713,2012,48201,CULTURALES,500000
714,2012,48301,CULTURALES,2000000
